Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Argentina,2013,675.54,200.42,High,56.1,23.42,36.61,1352.66,4.87
China,2016,784.57,446.56,Low,78.09,32.62,28.3,2782.97,4.14
South Korea,2023,535.44,326.71,Medium,71.28,13.38,34.09,205.25,2.26
South Korea,2020,593.94,420.06,Medium,32.35,11.55,34.3,1516.36,2.61
Russia,2002,208.61,295.83,High,66.44,40.95,13.6,2016.27,1.45
Australia,2022,294.46,148.3,Medium,20.5,24.34,29.61,2524.57,2.49
Australia,2006,170.28,294.08,Medium,27.79,49.4,38.58,1669.35,0.63
Spain,2016,256.8,217.0,Medium,31.98,28.59,24.4,2668.0,4.55
Canada,2011,232.64,363.87,Low,55.83,43.05,31.97,1336.2,3.59
Argentina,2008,524.25,264.11,Low,31.68,49.1,27.0,1019.67,4.05
Indonesia,2014,567.06,426.25,Medium,41.92,17.65,16.15,2924.05,2.7
China,2017,945.5,355.13,Medium,34.57,41.04,15.86,2034.82,0.72
Brazil,2020,203.61,358.04,High,40.24,5.99,23.01,1334.76,2.73
South Korea,2012,645.26,147.72,Low,76.55,35.59,24.49,2646.75,1.71
Argentina,2020,819.09,492.91,Low,79.84,38.53,25.09,2080.93,0.15
Germany,2007,564.64,428.75,Low,61.14,26.48,38.65,1950.01,3.11
Russia,2013,262.45,405.05,Medium,54.34,12.29,13.01,2212.76,4.28
Turkey,2007,269.92,198.6,High,62.51,32.75,21.42,2241.05,3.58
Russia,2013,48.86,291.03,High,66.3,45.39,25.44,1529.65,1.2
Argentina,2006,312.39,111.7,Medium,64.34,46.91,38.89,1315.99,4.11
Russia,2022,747.16,292.31,Medium,24.91,38.57,25.13,2736.92,1.62
Brazil,2011,57.04,115.65,High,38.62,16.87,33.26,1542.02,1.17
Japan,2010,227.1,298.87,High,40.61,44.16,32.48,725.88,4.81
South Africa,2021,709.17,341.92,Low,42.16,45.0,26.99,1612.65,0.18
Brazil,2021,784.83,225.59,Medium,40.66,21.53,13.92,199.82,0.92
UK,2010,460.77,274.35,Low,67.23,13.23,16.56,2197.62,2.39
Germany,2024,701.09,444.04,High,64.86,44.36,17.2,468.25,0.92
Italy,2021,394.07,98.85,Low,20.28,44.83,11.16,424.0,0.92
Brazil,2012,168.31,406.28,High,37.78,9.54,21.38,2844.43,3.21
Canada,2017,404.17,126.84,High,57.42,48.51,28.32,2340.41,4.11
Brazil,2001,584.17,66.52,Low,27.22,28.99,14.33,1301.26,3.34
South Korea,2020,948.57,133.51,Medium,24.27,49.72,15.25,794.77,0.6
Mexico,2014,78.06,394.27,Low,69.7,25.03,31.21,2546.12,4.49
Germany,2019,512.32,232.31,Low,47.16,29.0,15.08,2908.89,4.62
Turkey,2017,335.63,442.63,Medium,71.34,16.97,14.06,1574.23,1.48
Australia,2014,513.23,286.12,Medium,69.41,45.45,39.34,1782.22,2.81
South Korea,2018,33.74,60.01,Low,73.6,24.97,10.44,804.86,2.48
Italy,2022,319.9,372.52,High,22.9,41.66,19.76,1808.83,3.37
Turkey,2023,821.67,99.6,Low,31.17,8.59,11.05,1261.73,4.89
Argentina,2011,558.4,405.22,High,37.77,40.47,35.14,2552.18,4.93
France,2012,456.08,125.65,Medium,28.17,27.06,27.51,1193.63,2.59
India,2021,292.67,205.45,Medium,49.13,5.24,11.44,1981.46,0.55
Argentina,2010,305.06,392.57,High,67.94,15.18,28.46,690.05,1.74
USA,2004,389.27,479.4,Low,77.07,13.72,13.69,362.95,2.13
Indonesia,2000,837.22,217.15,Medium,73.37,38.83,24.87,217.03,2.72
Canada,2023,967.54,423.23,High,47.44,26.47,30.08,1305.37,4.81
Indonesia,2002,444.27,135.86,High,58.19,12.19,14.46,574.23,1.39
India,2021,399.42,413.23,Low,33.84,16.56,24.91,2981.09,2.73
South Korea,2018,848.09,345.87,High,44.18,27.68,23.72,2415.31,1.53
South Africa,2022,432.64,136.73,High,72.27,5.88,37.47,2110.78,4.61
Italy,2006,556.5,186.13,Low,21.75,24.09,39.87,2429.62,4.95
Spain,2011,238.63,109.3,Medium,51.97,35.51,29.63,861.97,4.37
USA,2014,746.07,222.34,Medium,72.37,28.3,35.65,2649.87,1.76
Argentina,2024,536.67,141.64,Medium,27.32,31.91,29.41,2987.35,1.46
South Africa,2004,810.94,339.8,High,78.95,19.7,36.29,940.58,2.21
USA,2014,782.93,497.53,High,20.74,13.24,23.0,2955.48,3.76
Australia,2007,222.85,55.4,Low,73.17,41.44,28.24,1029.15,0.15
Indonesia,2009,718.48,293.41,High,41.22,45.75,35.36,134.0,4.98
Russia,2015,802.05,308.15,High,27.96,27.98,37.54,1164.92,4.43
Turkey,2007,352.65,461.39,Medium,29.44,18.73,10.74,2992.79,0.22
Saudi Arabia,2000,180.88,277.7,High,62.07,28.0,13.12,1941.94,1.97
Mexico,2011,12.61,294.67,High,72.24,44.55,37.94,2116.87,3.47
Turkey,2004,456.39,262.24,High,58.46,36.11,27.06,791.21,1.28
Russia,2002,358.91,171.01,Low,75.72,43.64,39.71,523.17,0.8
Argentina,2000,559.36,75.21,High,70.55,19.78,33.78,2667.98,3.18
Turkey,2003,196.16,233.9,Low,20.54,37.04,34.54,1298.84,4.53
Italy,2007,861.07,73.67,Medium,60.17,34.39,21.58,111.91,4.78
Japan,2002,265.18,297.72,High,38.28,30.72,17.73,953.31,0.15
China,2009,234.17,188.28,Low,47.27,28.77,27.95,667.62,4.38
Russia,2001,485.91,290.12,Medium,25.64,29.79,36.37,1850.94,2.85
Brazil,2010,503.86,110.43,High,36.93,43.24,31.77,2292.76,1.26
Turkey,2024,222.93,469.68,Low,57.96,46.22,24.17,1542.75,3.12
UK,2009,279.14,452.53,Low,33.1,10.08,32.6,639.11,4.98
Canada,2020,178.01,135.5,Medium,58.85,30.59,30.71,268.1,1.45
Canada,2013,721.28,204.55,High,75.38,46.33,37.39,1009.25,1.46
Mexico,2006,772.39,326.07,High,20.3,11.06,17.91,2437.29,3.52
Japan,2001,467.71,93.06,High,67.15,23.58,13.58,1316.59,0.31
South Korea,2008,716.95,209.56,Low,58.48,9.01,24.1,831.53,4.12
India,2015,738.58,163.0,High,22.8,10.11,20.83,160.1,3.3
Turkey,2012,146.89,461.98,Low,67.41,45.68,39.25,1538.58,4.22
Germany,2008,966.52,433.63,Low,33.47,25.08,10.23,2085.98,1.23
Mexico,2019,822.82,310.92,Medium,35.95,35.99,38.0,651.96,4.25
Brazil,2003,212.44,284.16,Low,25.61,11.25,38.65,1657.85,2.3
Russia,2021,194.3,468.83,Medium,52.06,5.99,11.53,1320.14,0.75
Spain,2009,134.4,469.59,Medium,49.89,45.07,36.69,2141.45,4.52
Italy,2021,146.99,486.2,High,40.83,30.85,24.12,2595.75,3.55
China,2011,750.68,106.42,Medium,30.13,5.9,32.98,990.44,0.92
France,2016,474.96,122.25,High,70.28,49.66,12.38,2723.84,1.31
Mexico,2013,785.1,354.53,Medium,72.58,27.15,38.66,2150.16,1.42
Saudi Arabia,2013,748.79,293.65,Low,52.43,26.41,28.23,207.78,4.82
Spain,2024,608.57,58.31,High,34.65,32.94,36.96,2394.6,4.44
UK,2001,689.5,77.89,Low,25.77,5.36,30.19,1534.42,1.8
Brazil,2020,28.17,449.64,High,72.11,30.61,26.1,2841.84,2.39
Indonesia,2024,318.66,440.99,Low,25.76,33.33,15.17,1038.53,1.5
USA,2019,641.44,210.77,Medium,20.79,18.36,15.34,1814.52,3.74
Russia,2010,19.25,450.97,High,48.16,37.71,24.18,2872.82,0.89
Italy,2015,42.65,317.15,High,63.88,21.98,36.11,886.36,1.76
Australia,2018,853.37,412.66,High,47.45,37.3,13.46,1468.67,3.07
Germany,2022,687.18,242.34,Medium,23.08,11.47,39.95,2282.24,4.4
Italy,2005,272.72,101.03,Low,61.4,46.12,36.28,2104.19,3.21
Turkey,2023,691.08,245.18,Medium,58.54,44.58,21.78,2532.24,4.7
Australia,2018,794.53,255.78,Medium,60.89,11.78,17.59,1607.41,4.66
UK,2004,313.73,297.92,Medium,32.67,47.23,37.66,1024.87,3.62
Italy,2003,45.68,97.51,Low,67.74,30.1,13.7,1651.75,1.47
Russia,2014,933.45,496.13,Medium,48.75,36.57,20.42,1114.88,3.45
Turkey,2003,351.73,159.86,High,52.18,42.81,12.52,611.65,1.04
China,2019,115.42,139.35,Medium,52.75,8.76,38.6,1709.41,1.73
Australia,2009,496.94,287.06,Low,37.21,12.62,28.53,240.3,3.81
Indonesia,2023,770.78,291.74,High,35.01,18.07,20.09,206.07,4.27
Italy,2021,229.43,247.92,Low,20.29,26.47,18.26,287.26,2.14
Argentina,2002,276.8,397.35,Medium,43.8,20.57,23.32,2050.57,2.66
Brazil,2004,250.29,282.49,Low,49.11,27.76,12.74,1280.26,1.99
Russia,2005,991.76,324.36,High,64.57,13.37,36.68,1532.93,2.45
Canada,2020,205.43,375.69,Low,24.0,35.7,25.33,1095.86,2.61
South Korea,2021,579.77,61.26,High,75.44,7.51,31.75,835.55,3.49
Russia,2007,926.01,306.79,High,35.84,21.27,17.01,1139.08,3.78
China,2006,155.43,447.89,Medium,42.0,13.06,25.11,660.8,4.88
UK,2020,971.15,57.82,Medium,22.9,37.85,16.33,2068.4,2.24
Turkey,2009,948.0,232.33,High,59.19,44.76,34.48,395.03,0.51
UK,2005,885.73,466.8,Low,62.54,8.55,33.26,1599.01,3.47
South Africa,2013,222.41,208.92,High,75.73,40.33,14.45,1482.8,2.54
South Korea,2003,637.71,256.43,Medium,40.21,45.31,12.24,975.58,4.22
China,2024,763.28,491.69,Low,35.44,48.83,34.73,396.64,0.82
Italy,2012,986.17,139.7,High,63.57,31.07,13.29,2139.74,3.26
Indonesia,2019,188.62,79.36,Medium,62.41,19.73,26.45,1751.67,2.35
Mexico,2016,768.37,436.74,High,76.23,19.49,26.03,2447.48,2.15
UK,2022,345.41,440.81,High,32.32,22.05,16.09,783.02,2.87
Turkey,2006,183.87,262.44,High,62.32,32.57,27.74,2395.54,3.45
Germany,2003,427.16,281.39,Low,24.01,27.06,25.08,946.64,4.27
Turkey,2013,795.9,426.11,Medium,48.82,34.41,25.28,426.51,1.25
India,2002,470.2,382.35,Medium,27.16,6.77,20.79,491.26,1.54
India,2023,542.15,169.32,High,59.19,9.76,35.15,741.07,2.79
Australia,2004,995.21,57.6,High,56.09,48.94,12.53,2079.04,1.8
South Korea,2015,405.12,265.87,High,22.93,49.79,23.16,807.49,2.88
India,2022,619.25,436.51,Low,39.18,38.6,17.79,1851.23,1.08
Italy,2019,371.59,453.13,Medium,43.7,16.54,35.45,843.92,1.61
Saudi Arabia,2003,398.86,480.3,High,34.88,47.9,16.75,1159.15,1.69
Argentina,2023,698.68,445.8,Medium,22.32,14.62,33.01,2680.19,4.96
Russia,2023,938.51,311.02,High,39.13,37.91,28.35,1551.05,4.29
South Africa,2001,546.94,250.07,Medium,67.56,10.19,36.24,1840.73,4.2
China,2017,770.72,398.68,High,41.61,34.2,27.81,648.9,2.62
Brazil,2018,98.31,382.92,Low,39.4,39.18,26.69,481.37,2.39
Australia,2018,219.05,292.16,High,76.51,43.68,34.03,1298.22,0.44
Russia,2016,507.11,89.3,High,22.5,38.04,26.87,2580.62,1.07
Argentina,2013,29.81,466.74,High,66.04,46.56,35.34,798.68,4.49
Spain,2018,260.33,255.02,High,48.99,28.44,11.48,1902.91,2.68
UK,2021,522.23,213.5,High,76.67,35.48,24.85,2629.08,4.94
South Korea,2023,24.81,333.31,Medium,43.61,21.63,34.38,2809.79,3.0
Germany,2012,271.9,353.23,Medium,62.48,5.47,35.45,2981.99,1.95
Australia,2011,518.89,144.81,Low,24.2,39.05,35.02,2312.58,1.44
Canada,2005,577.42,426.62,High,75.73,44.14,28.13,317.53,4.6
South Africa,2020,926.49,180.47,Medium,40.67,12.83,39.82,2627.24,1.92
South Korea,2003,648.89,134.01,Medium,51.44,6.29,15.44,2668.35,0.82
UK,2018,420.59,232.88,High,28.31,12.4,15.23,1716.12,1.46
Brazil,2015,931.05,378.75,High,76.73,45.29,10.98,295.55,3.26
India,2012,787.03,484.46,Low,60.38,18.3,39.68,1482.33,0.75
India,2003,208.01,414.18,Low,23.24,15.52,20.44,711.03,0.55
Brazil,2022,139.53,473.16,Medium,29.31,5.66,32.86,1382.11,2.34
Germany,2016,679.05,113.27,Low,43.99,18.37,11.79,2199.97,0.51
Japan,2022,564.28,82.03,Medium,33.01,37.2,18.96,2035.9,2.03
Saudi Arabia,2000,791.78,300.97,Low,38.28,48.16,28.72,2361.98,1.68
India,2017,741.42,180.63,High,79.85,19.07,25.74,1481.92,2.02
Italy,2019,628.96,422.62,Low,59.52,15.83,16.23,1581.3,2.49
Japan,2016,986.52,352.39,Medium,75.33,44.96,23.85,2813.5,1.01
South Africa,2014,538.25,486.83,Low,46.15,43.36,13.26,1930.43,2.27
Brazil,2010,121.97,164.66,Medium,62.62,19.77,26.28,2267.87,1.87
Mexico,2024,829.99,268.6,Medium,47.58,8.1,12.91,2027.1,4.0
Mexico,2021,259.33,275.56,Low,39.69,49.64,29.08,1957.41,3.5
South Africa,2012,779.53,157.63,Low,51.15,35.63,14.66,2749.27,4.38
UK,2000,957.54,315.54,Medium,45.64,46.7,26.41,1133.81,3.38
Argentina,2016,699.83,249.48,High,78.83,20.38,13.87,1340.3,0.69
Brazil,2005,600.07,251.02,Low,49.77,34.15,22.02,1201.28,2.58
Japan,2003,465.78,213.23,Medium,68.67,35.35,20.55,2319.07,3.74
Argentina,2019,370.77,57.62,High,60.01,44.28,32.69,2618.42,4.22
India,2015,359.47,284.94,Medium,48.78,49.69,29.23,1136.76,0.99
Argentina,2014,640.01,200.86,Low,48.45,9.89,38.11,512.81,1.2
Canada,2014,753.76,50.59,Medium,40.51,33.4,37.66,1532.91,4.32
China,2005,681.73,188.57,Medium,26.42,20.14,31.75,2954.55,2.48
South Africa,2014,206.43,175.38,Medium,65.69,41.52,33.12,690.68,2.32
Spain,2013,499.05,227.05,Low,75.09,38.94,28.75,1410.8,2.52
China,2010,793.72,109.33,High,33.08,45.16,30.75,887.02,0.95
Spain,2006,480.95,278.46,High,75.54,20.47,28.52,2775.77,3.18
France,2008,541.26,361.6,High,33.94,13.3,19.35,1697.66,4.06
Indonesia,2015,773.42,333.58,High,51.8,5.98,20.52,1778.36,4.2
France,2004,664.65,411.69,Low,40.62,16.5,27.24,123.96,0.25
India,2024,415.25,253.4,Medium,26.87,21.52,31.61,1993.06,3.6
India,2019,896.46,283.59,High,23.17,47.57,22.18,988.42,0.55
Italy,2009,170.94,414.68,High,41.92,27.11,14.28,1588.91,4.84
Germany,2017,995.56,242.47,Low,22.84,30.04,23.78,1640.1,2.46
Spain,2002,127.66,365.72,Medium,26.25,44.61,38.9,1817.45,3.9
Russia,2012,24.8,245.57,Medium,28.54,44.83,16.42,2488.26,3.15
Russia,2010,891.12,237.98,High,20.11,28.76,29.47,966.91,4.76
South Africa,2016,252.5,392.09,High,29.2,10.12,39.48,842.87,4.87
Canada,2021,732.4,128.68,Medium,54.64,17.17,21.29,2407.85,1.47
South Africa,2012,812.91,202.36,Low,69.17,25.56,36.64,2184.28,2.47
Italy,2005,860.4,150.88,Medium,31.61,38.8,35.92,754.28,2.57
South Africa,2016,991.68,211.6,Medium,24.85,37.03,20.17,102.43,0.97
Australia,2012,301.1,153.67,High,63.77,33.92,12.96,2031.22,4.53
USA,2018,713.14,310.73,Low,20.49,44.61,15.36,555.82,1.81
Japan,2020,124.25,409.18,Low,64.05,41.12,20.97,2875.29,0.53
Saudi Arabia,2018,412.74,403.98,Low,27.87,49.2,38.77,1852.78,0.86
South Africa,2009,849.49,214.03,High,33.7,45.01,18.23,2563.99,2.62
India,2002,373.98,494.94,Low,27.2,13.8,37.81,2436.3,4.42
India,2013,595.18,317.23,Low,34.84,7.59,15.44,1717.61,3.18
Germany,2018,508.74,229.73,High,67.89,23.65,39.09,1371.22,1.15
France,2004,649.49,425.99,Medium,27.95,32.79,18.81,1540.72,1.55
Russia,2004,973.17,378.44,Low,79.65,33.94,28.99,2428.67,4.88
Australia,2019,65.18,387.17,Medium,39.63,17.04,12.09,1957.31,0.36
Australia,2016,578.22,138.26,Low,75.32,43.69,18.99,696.58,4.97
Spain,2020,864.4,260.75,Medium,31.4,19.82,16.32,1867.13,4.54
China,2009,486.57,437.82,Medium,31.27,46.36,10.1,1273.53,3.42
India,2004,87.74,276.82,High,53.92,26.22,14.7,277.76,4.72
Japan,2003,564.93,357.55,High,23.04,5.47,27.79,1205.68,0.85
France,2005,338.75,314.57,Low,68.06,12.29,21.7,760.04,4.72
South Africa,2003,163.39,429.06,Low,46.38,9.6,31.68,2531.9,1.14
Russia,2006,850.54,178.05,High,61.95,6.98,30.13,404.5,2.78
South Africa,2006,526.38,308.96,Low,30.48,37.13,33.98,1145.81,2.49
China,2017,933.94,105.46,Low,58.54,13.65,36.01,2116.93,2.61
UK,2002,807.96,360.59,High,55.64,42.74,34.59,2702.44,1.41
Canada,2000,696.04,379.39,Medium,65.34,16.9,23.44,1072.42,3.93
Spain,2023,14.98,69.28,Low,37.84,6.45,19.26,1858.67,3.74
China,2024,433.55,354.11,High,75.99,41.93,25.07,1183.58,4.77
Turkey,2003,205.51,236.61,Low,77.68,25.98,26.05,688.36,2.58
Saudi Arabia,2005,911.69,105.84,Low,72.09,31.98,19.4,1044.58,2.79
Italy,2008,182.84,238.96,High,54.32,20.13,26.2,1944.12,4.53
Russia,2021,293.2,137.4,High,45.22,7.07,13.17,2177.38,4.61
Russia,2013,521.67,237.0,Low,23.48,21.66,16.93,1174.76,3.28
Argentina,2011,270.73,222.95,Low,76.83,28.32,32.38,542.34,4.12
South Africa,2024,217.77,382.28,Medium,77.11,5.53,15.48,504.72,2.58
France,2019,603.11,398.4,Medium,21.12,30.84,14.17,2456.58,2.0
UK,2023,98.04,323.16,High,41.41,45.19,18.62,1994.49,4.33
Mexico,2024,67.59,60.21,Low,72.8,14.8,21.13,2211.29,3.91
UK,2003,378.52,468.96,High,24.85,46.7,19.86,1515.94,1.29
UK,2020,723.46,358.8,High,31.79,9.39,21.24,1426.23,0.33
China,2023,559.26,65.39,Low,78.72,42.14,14.2,712.34,2.87
Spain,2011,428.65,418.47,Medium,70.84,42.81,14.96,588.19,4.22
Indonesia,2009,570.09,140.12,High,74.72,16.6,17.08,546.35,1.31
Argentina,2021,371.8,310.65,High,28.53,48.1,22.06,2976.19,3.86
Japan,2006,936.78,259.99,Low,32.68,23.75,20.08,2480.59,2.13
Germany,2002,64.36,238.93,Medium,56.32,11.36,33.74,1915.78,1.74
Argentina,2022,676.66,450.37,Medium,50.1,31.63,25.77,721.77,0.95
Spain,2013,892.37,246.81,Low,37.91,49.85,27.27,1079.21,4.68
USA,2023,805.85,83.9,High,73.03,45.47,26.82,1117.28,1.21
Turkey,2009,192.2,475.99,Low,74.08,17.54,21.96,1485.25,1.47
Indonesia,2015,302.97,464.24,Low,37.5,30.96,39.41,1323.79,1.72
Germany,2015,719.88,357.99,Medium,29.35,10.19,11.12,2809.04,1.49
Russia,2021,93.43,260.55,High,28.95,25.78,16.48,2190.35,0.9
Turkey,2009,813.74,91.79,High,49.07,28.54,18.54,336.08,1.84
UK,2024,721.72,405.84,Medium,27.98,19.19,36.44,1143.87,2.41
Germany,2012,732.31,83.97,High,48.4,26.79,37.57,485.59,2.8
South Korea,2005,109.24,80.87,High,47.72,46.4,35.38,910.13,0.87
Australia,2011,720.58,291.82,Low,73.05,27.51,22.51,2880.79,3.92
Indonesia,2008,683.02,122.06,Low,37.77,42.39,37.44,2145.26,1.63
Australia,2012,832.61,53.48,Low,53.64,19.28,12.96,122.77,4.6
Saudi Arabia,2003,51.18,240.4,High,64.61,48.71,29.57,1053.7,1.71
Italy,2023,32.88,111.75,High,55.75,9.21,38.12,1372.24,4.33
Turkey,2010,379.28,122.23,High,77.24,31.35,32.65,1847.25,1.83
USA,2019,157.3,84.61,High,56.14,40.54,18.34,1549.21,2.58
Saudi Arabia,2017,562.8,142.29,Medium,74.11,41.63,31.53,302.34,1.92
UK,2010,918.18,371.97,Medium,34.7,13.92,18.84,1595.09,2.0
India,2024,397.56,414.02,High,53.65,23.07,13.35,477.75,3.13
China,2020,846.5,253.64,Low,52.6,33.09,31.52,1605.68,3.5
China,2003,10.24,277.95,Low,79.37,19.21,15.38,813.6,4.37
South Africa,2017,176.83,64.69,Medium,32.27,34.62,13.33,518.16,2.89
Canada,2000,40.12,81.19,Medium,28.46,22.05,26.55,934.98,1.16
Saudi Arabia,2006,334.87,165.91,High,56.7,20.79,28.62,388.9,4.95
Germany,2005,909.11,294.75,High,33.42,9.86,11.53,923.55,3.45
Russia,2014,105.98,382.8,High,58.35,6.77,10.13,2614.1,1.94
South Africa,2017,610.35,322.25,High,78.35,42.59,36.46,990.8,4.84
Spain,2023,456.98,226.46,High,76.79,27.03,13.46,1463.64,4.8
South Africa,2010,939.08,103.25,Low,33.87,30.33,27.52,1607.44,0.49
Russia,2019,131.29,401.35,Low,30.25,21.75,38.61,617.04,0.2
Australia,2023,219.91,213.7,High,53.64,11.15,25.36,1381.17,0.32
Indonesia,2014,39.25,381.22,Low,55.21,25.23,14.19,2573.65,3.46
UK,2015,439.6,280.84,High,59.74,15.3,21.8,333.53,3.58
Germany,2006,285.05,382.4,High,64.49,42.7,28.72,2776.18,3.65
China,2020,871.21,458.28,Medium,56.06,49.41,32.89,2626.23,3.19
Indonesia,2009,608.89,464.46,Low,26.71,45.01,28.21,2581.91,1.5
Saudi Arabia,2011,617.95,290.8,Low,67.41,28.77,11.03,675.77,0.92
South Korea,2023,536.59,280.18,Medium,24.77,33.27,14.29,1504.51,4.65
Canada,2013,100.93,169.56,Low,21.2,47.67,21.15,1886.85,4.57
South Korea,2024,450.57,471.11,Medium,66.18,29.24,31.17,389.85,1.29
Russia,2004,999.51,256.06,Low,52.9,33.74,27.53,1714.85,0.92
Brazil,2020,836.88,107.42,High,61.92,33.32,11.34,2536.13,1.94
India,2017,894.52,244.72,Medium,42.96,36.87,33.91,2816.01,0.34
Spain,2004,824.99,107.17,High,20.67,33.81,28.15,907.15,0.89
France,2002,112.01,276.14,High,39.86,35.18,36.61,937.34,1.96
USA,2022,235.17,302.57,Low,56.49,37.67,22.53,885.12,1.27
UK,2004,13.09,201.99,Medium,33.54,41.41,24.71,545.01,3.71
France,2023,310.48,82.24,High,61.27,23.14,22.17,1349.07,4.53
USA,2016,117.52,474.58,High,67.66,38.56,31.67,2374.96,4.55
Russia,2018,478.07,398.01,Medium,47.26,9.51,32.56,2165.06,3.06
UK,2018,680.36,427.5,Low,72.54,44.43,31.7,2710.93,3.55
Mexico,2024,875.76,215.09,High,71.29,18.05,18.75,1131.65,2.52
China,2020,751.72,392.37,Low,72.68,23.16,29.08,1759.44,0.82
Brazil,2011,939.2,268.42,Medium,59.66,41.16,20.16,2322.95,3.21
France,2024,63.36,140.49,Low,38.29,33.66,35.03,2704.7,1.81
Indonesia,2008,22.06,105.99,Medium,48.88,18.89,11.65,2628.09,0.13
Turkey,2000,664.72,205.27,Low,62.63,15.14,11.13,1450.0,2.92
USA,2017,296.46,111.9,Low,32.63,48.1,13.05,2729.89,1.07
India,2020,260.97,499.22,High,64.33,8.95,16.07,1387.76,4.44
India,2003,337.58,72.14,Low,52.89,5.2,11.13,2718.21,4.68
Russia,2009,277.1,248.51,High,25.76,35.28,12.15,2353.22,0.89
USA,2024,516.32,253.44,Medium,53.44,32.65,19.18,742.78,0.24
France,2006,445.75,185.28,Medium,24.01,38.19,12.99,2796.04,0.12
UK,2021,517.3,307.11,High,20.86,37.92,34.06,803.15,4.57
Spain,2022,675.99,117.49,Low,73.38,43.85,11.62,2734.42,0.84
India,2000,393.26,402.76,Medium,49.39,46.49,37.24,1883.82,2.23
South Korea,2016,258.79,199.6,Medium,52.6,39.88,36.13,2035.39,0.38
China,2023,174.54,316.1,Medium,36.8,15.45,16.25,417.07,1.93
Turkey,2001,355.98,372.04,High,52.56,25.86,12.15,290.65,3.95
Italy,2010,744.39,450.07,Medium,30.13,33.88,13.17,2908.19,2.09
Australia,2008,759.14,426.1,Medium,64.74,29.27,26.77,1077.09,3.9
Germany,2006,670.24,323.74,Medium,69.4,12.15,28.03,2548.68,3.48
Canada,2021,241.69,224.78,Medium,71.35,31.52,19.47,2142.98,2.63
China,2016,592.21,276.44,High,26.4,44.89,18.91,1852.0,3.71
China,2016,574.98,395.93,High,53.47,23.83,25.95,2087.11,4.41
UK,2001,489.42,444.9,Low,68.53,35.1,19.17,359.22,3.99
Australia,2005,554.48,96.7,Medium,27.69,32.72,38.03,1295.95,3.49
Turkey,2013,496.87,223.19,High,25.97,21.97,21.48,1860.52,3.54
Italy,2005,569.8,399.25,Low,69.02,30.44,16.59,2615.93,0.89
Brazil,2001,718.35,244.24,Low,67.8,14.46,14.38,2172.59,4.76
Argentina,2000,118.53,199.5,Medium,46.92,29.57,28.95,833.14,1.11
Indonesia,2009,752.13,235.1,Low,26.58,40.95,19.8,2956.29,1.81
UK,2020,144.53,321.28,High,50.97,39.15,15.66,1964.81,2.64
Saudi Arabia,2004,75.96,499.91,Low,43.69,21.11,18.27,1553.82,0.72
Argentina,2001,976.32,271.85,Low,51.11,10.04,19.24,2366.0,3.01
India,2021,957.42,143.82,High,46.39,41.0,28.78,1847.83,1.0
Australia,2015,69.83,123.28,Low,54.11,16.93,15.24,2158.97,4.62
Germany,2024,448.82,69.06,Low,63.63,7.39,31.98,1889.69,4.45
Mexico,2001,194.38,301.47,Low,66.49,25.03,19.15,618.63,2.77
South Africa,2009,490.49,295.06,Low,58.94,38.28,24.65,1675.73,2.3
UK,2001,831.88,142.36,Medium,31.94,41.38,29.65,920.99,0.6
Italy,2015,951.11,362.9,Medium,43.83,49.2,26.31,1753.84,4.13
Japan,2015,637.91,383.5,High,24.27,13.52,29.87,463.96,1.96
Germany,2018,360.37,166.59,Low,47.1,18.22,19.68,772.7,1.31
Indonesia,2006,607.29,204.84,High,78.22,32.43,38.9,2445.3,4.98
Saudi Arabia,2021,318.88,495.71,Medium,58.5,41.51,23.77,1275.28,3.37
USA,2011,910.73,218.42,Low,29.28,15.53,19.66,2053.98,0.46
Saudi Arabia,2023,871.7,392.36,Low,36.11,23.45,18.89,1543.76,4.03
Germany,2014,562.65,253.73,Medium,23.87,23.38,11.28,1088.02,3.78
India,2007,331.55,407.01,Low,30.94,39.78,30.54,1536.01,2.07
Spain,2005,300.46,396.06,Low,49.27,15.84,17.88,2459.73,0.71
Indonesia,2009,43.08,350.49,Medium,40.69,48.59,38.77,916.64,2.54
South Africa,2002,817.66,434.65,High,32.24,27.97,16.31,1322.19,3.84
Saudi Arabia,2018,455.88,472.65,High,28.8,17.69,25.88,687.49,0.47
France,2016,331.88,310.99,Low,59.36,17.79,32.06,1118.45,0.9
China,2006,476.4,156.86,Medium,53.49,5.82,36.1,2666.82,3.13
UK,2020,820.55,229.38,High,70.56,36.16,14.69,2378.6,2.84
UK,2019,133.37,391.24,High,31.0,39.92,39.56,1183.48,4.53
Mexico,2003,859.08,342.9,Low,70.88,6.46,37.2,483.94,4.09
France,2013,898.53,130.01,High,54.67,31.37,38.89,1317.91,4.6
Japan,2019,947.24,73.06,Medium,35.97,40.18,35.58,2337.99,2.38
Japan,2021,403.51,357.33,High,36.41,21.93,36.33,227.02,3.96
USA,2014,224.97,162.99,Medium,43.42,24.47,27.96,2261.49,0.34
Russia,2023,379.9,274.85,Medium,47.61,21.27,35.36,2071.74,1.54
UK,2007,339.58,386.04,Low,24.95,19.2,26.02,287.48,3.26
